id,title,titleeng,titlerus,whours1,whours2,is_mandatory,urlru,urlgeo,urleng
198,ბაკურიანი,Bakuriani,Бакуриани,"41.728350, 43.531280",100,1,Bakuriani,bakuriani,Bakuriani
202,მარტყოფი,Martkopi,Марткопи,"41.789501, 45.011787",60,1,Martkopi,martqopi,Martkopi
203,ყინწვისის ღვთისმშობლის მონასტერი,Kintsvisi Virgin Mary Monastery,Кинцвисский монастырь Девы Марии,"41.971653, 43.822517",60,1,Kincvisskij_monastyr_Devy_Marii,qintsvisis_ghvtismshoblis_monasteri,Kintsvisi_Virgin_Mary_Monastery
204,შუამთის მონასტერი,Shuamta Monastery ,Шуамта  Монастырь ,"41.911024, 45.405982",60,1,Shuamta_Monastyr,shuamtis_monasteri,Shuamta_Monastery
205,ალ.ჭავჭავაძის სახმუზეუმი,Al. Chavchavadze Museum,Музей А. Чавчавадзе,"41.896587, 45.566960",60,1,Muzej_A_Chavchavadze,al_chavchavadzis_sakhmuzeumi,Al_Chavchavadze_Museum
206,ბათუმის ბოტანიკური ბაღი,Batumi Botanical Garden,Батумский ботанический сад,"41.694725, 41.707474",60,1,Batumskij_botanicheskij_sad,batumis_botanikuri_baghi,Batumi_Botanical_Garden
207,ბათუმის სამების ეკლესია,Batumi Trinity Church ,Батумская Троицкая церковь ,"41.640411, 41.693667",60,1,Batumskaja_Troickaja_cerkov,batumis_samebis_eklesia,Batumi_Trinity_Church
209,მარტვილის მონასტერი,Martvili Monastery,Мартвильский монастырь,"42.405800, 42.377709",60,1,Martvilskij_monastyr,martvilis_monasteri,Martvili_Monastery
210,სალხინო (დადიანების რეზიდენცია),Salkhino (Palace Dadiani),Салхино (Резиденция Дадиани) ,"42.510290, 42.344569",60,1,Salhino_(Rezidencija_Dadiani),salkhino_(dadianebis_rezidentsia),Salkhino_(Palace_Dadiani)
211,კახუს ჩანჩქერი,Kakhu Waterfall,Каху Водопад ,"42.491057, 42.423457",60,1,Kahu_Vodopad,kakhus_chanchkeri,Kakhu_Waterfall
214,ერევანი,Yerevan,Ереван,"40.187232, 44.515197",60,0,Erevan,erevani,Yerevan
215,ბაქო,Baku,Баку,"40.391890, 49.865795",60,0,Baku,bako,Baku
217,ქედა,Keda,Кеда,"41.599077, 41.939208",60,1,Keda,keda,Keda
218,ერვანის აეროპორტი,Yerevan Airport,Аэропорт Ереван,"40.153250, 44.399049",60,0,Ajeroport_Erevan,ervanis_aeroporti,Yerevan_Airport
219,ბაქოს აეროპორტი,Baku Airport,Аэропорт Баку,"40.466793, 50.052073",60,0,Ajeroport_Baku,bakos_aeroporti,Baku_Airport
220,ამბროლაური,Ambrolauri,Aмбролаури,"42.514582, 43.145587",60,1,Ambrolauri,ambrolauri,Ambrolauri
221,ონი,Oni,Они,"42.578280, 43.434934",60,1,Oni,oni,Oni
222,შოვი,Shovi,Шови,"42.701923, 43.675702",60,1,Shovi,shovi,Shovi
223,დილიკაურის ჩანჩქერი,Dilikauri Waterfall,Диликаури Водопад ,"42.171193, 43.122705",60,1,Dilikauri_Vodopad,dilikauris_chanchkeri,Dilikauri_Waterfall
224,შეკვეთილის დენდროლოგიური პარკი,shekvetili arboretum ,дендрологический парк  шекветили,"41.971757, 41.782434",120,1,dendrologicheskij_park_shekvetili,shekvetilis_dendrologiuri_parki,shekvetili_arboretum
225,შაორის ტბა,SHAORI LAKE,ОЗЕРО ШАОРИ,"42.422406, 43.077977",60,1,OZERO_ShAORI,shaoris_tba,SHAORI_LAKE
